QLBES version12-12-2017,,,,,,,,
Starting_2108,hours,GMT,13_Dec2017,,,,,
wallets,1000,blocks,5000,,,,,
Using Python secrets module for cryptographically strong random numbers,,,,,,,,
useRetarget = True, retarget on every block,,,,,,,
Using target scaling, targetScalingFactor,1.05,starting step,16,,,,
Loading wallets with Mainnet distribuition,,,,,,,,
useDynamicWeights = False, wallet weights are fixed during the simulation run,,,,,,,
trueNetworkWeight,20026263,,,,,,,
block,wallet,wallet weight,true network weight,new network weight,network weight,target,difficulty,spacing
0,1,892220,20026263,19103500,not yet,789978.3965,3412624.968,160
1,16,157617,20026263,19103500,not yet,788861.2272,3417457.858,96
2,41,88514,20026263,19103500,not yet,786072.2534,3429582.953,48
3,0,1911538,20026263,19103500,not yet,783848.9626,3439310.541,64
4,38,97994,20026263,19103500,not yet,785511.7145,3432030.293,176
5,942,18008,20026263,19103500,not yet,784956.2882,3434458.76,112
6,754,13496,20026263,19103500,not yet,787176.4226,3424772.291,192
7,22,134073,20026263,19103500,not yet,783280.1985,3441807.932,16
8,9,97511,20026263,19103500,not yet,782172.5016,3446682.151,96
9,557,8768,20026263,19103500,not yet,782725.5668,3444246.763,144
10,3,800279,20026263,19103500,not yet,787153.2172,3424873.254,256
11,1,892220,20026263,19103500,not yet,783257.1079,3441909.397,16
12,2,825187,20026263,19103500,not yet,779934.115,3456574.021,32
13,758,13592,20026263,19103500,not yet,776625.2201,3471301.125,32
14,35,105030,20026263,19103500,not yet,772781.2204,3488568.212,16
15,373,4352,20026263,19103500,not yet,769502.6718,3503431.63,32
16,19,139439,20026263,19103500,not yet,766238.0326,3518358.376,32
17,16,157617,20026263,19103500,not yet,762445.4456,3535859.537,16
18,33,105197,20026263,19103500,not yet,760288.9797,3545888.566,64
19,0,1911538,20026263,19103500,not yet,757063.4299,3560996.204,32
20,27,119935,20026263,19103500,not yet,755457.4972,3568566.081,80
21,25,127707,20026263,19103500,not yet,762401.7768,3536062.063,336
22,14,168298,20026263,19103500,not yet,761323.6057,3541069.763,96
23,27,119935,20026263,19103500,not yet,759170.3128,3551113.57,64
24,768,13832,20026263,19103500,not yet,759170.3128,3551113.57,128
25,948,18152,20026263,19103500,not yet,755949.509,3566243.47,32
26,0,1911538,20026263,19103500,not yet,758087.602,3556185.318,192
27,3,800279,20026263,19103750,not yet,757551.5669,3558701.635,112
28,65,33853,20026263,19103750,not yet,753801.9746,3576403.473,16
29,581,9344,20026263,19103750,not yet,754867.9841,3571352.948,160
30,962,18488,20026263,19103750,not yet,768211.947,3509317.982,528
31,36,104336,20026263,19103750,not yet,764409.5898,3526774.174,16
32,907,17168,20026263,19104000,not yet,762247.5687,3536777.434,64
33,811,14864,20026263,19104000,not yet,765481.428,3521835.934,224
34,1,892220,20026263,19104000,not yet,763316.3753,3531825.187,64
35,2,825187,20026263,19104250,not yet,768713.6981,3507027.397,288
36,75,25065,20026263,19104250,not yet,770344.3441,3499603.808,176
37,816,14984,20026263,19104250,not yet,767620.8357,3512020.355,48
38,26,122460,20026263,19104500,not yet,765992.508,3519486.12,80
39,789,14336,20026263,19104500,not yet,770325.5043,3499689.397,256
40,64,38078,20026263,19104750,not yet,775772.3878,3475117.241,288
41,59,51368,20026263,19105000,not yet,773578.2287,3484973.982,64
42,13,174947,20026263,19105000,not yet,769749.3105,3502309.081,16
43,970,18680,20026263,19105250,not yet,773014.9961,3487513.197,224
44,846,15704,20026263,19105500,not yet,778480.8967,3463026.532,288
45,838,15512,20026263,19105750,not yet,776829.5319,3470388.147,80
46,927,17648,20026263,19105750,not yet,774083.0955,3482701.038,48
47,0,1911538,20026263,19106000,not yet,775725.1314,3475328.942,176
48,767,13808,20026263,19106250,not yet,772434.0932,3490135.953,32
49,3,800279,20026263,19106500,not yet,773526.4518,3485207.253,160
50,32,105412,20026263,19107000,not yet,769697.7899,3502543.512,16
51,683,11792,20026263,19107250,not yet,765888.0784,3519966.006,16
52,420,5480,20026263,19107500,not yet,768595.8319,3507565.209,208
53,706,12344,20026263,19107750,not yet,769139.2972,3505086.803,144
54,3,800279,20026263,19108250,not yet,775121.6428,3478034.738,304
55,22,134073,20026263,19108500,not yet,774573.5631,3480495.757,112
56,13,174947,20026263,19108750,not yet,775668.9474,3475580.67,160
57,896,16904,20026263,19109250,not yet,776765.8806,3470672.525,160
58,4,431691,20026263,19109750,not yet,772921.1847,3487936.485,16
59,12,181074,20026263,19110000,not yet,770188.5661,3500311.636,48
60,806,14744,20026263,19110500,not yet,768554.7915,3507752.511,80
61,989,19136,20026263,19111000,not yet,764750.7374,3525200.916,16
62,771,13904,20026263,19111500,not yet,765291.4839,3522710.048,144
63,85,19996,20026263,19112000,not yet,777737.4476,3466336.883,496
64,929,17696,20026263,19112500,not yet,776637.5891,3471245.84,96
65,583,9392,20026263,19113000,not yet,778285.0437,3463897.992,176
66,866,16184,20026263,19113500,not yet,774983.145,3478656.3,32
67,454,6296,20026263,19114000,not yet,775531.1267,3476198.32,144
68,787,14288,20026263,19114500,not yet,772240.9116,3491009.036,32
69,7,209804,20026263,19115250,not yet,773332.997,3486079.102,160
70,546,8504,20026263,19115750,not yet,771692.5523,3493489.722,80
71,773,13952,20026263,19116500,not yet,768418.6224,3508374.109,32
72,532,8168,20026263,19117000,20286745.93,765701.9223,3520821.773,48
73,96,14260,20026263,19117750,20410965.19,762994.827,3533313.602,48
74,44,83613,20026263,19118250,20190596.12,763534.3319,3530817.001,144
75,30,114338,20026263,19119000,20274786.15,760295.0135,3545860.425,32
76,50,73136,20026263,19119750,20207254.18,762982.9931,3533368.403,208
77,244,1256,20026263,19120500,20406747.56,759746.0138,3548422.698,32
78,1,892220,20026263,19121250,20850099.61,755985.5597,3566073.406,16
79,20,139336,20026263,19122000,20701745.31,754381.9135,3573654.076,80
80,878,16472,20026263,19122750,20832461.63,751714.8394,3586333.352,48
81,2,825187,20026263,19123500,21129321.7,748525.6656,3601613.31,32
